2025-09-24 18:48:22 [INFO] Debug logging enabled. Writing logs to debug.out
2025-09-24 18:48:22 [INFO] Loaded Ansible filters: ['abs', 'attr', 'batch', 'capitalize', 'center', 'count', 'd', 'default', 'dictsort', 'e', 'escape', 'filesizeformat', 'first', 'float', 'forceescape', 'format', 'groupby', 'indent', 'int', 'join', 'last', 'length', 'list', 'lower', 'items', 'map', 'min', 'max', 'pprint', 'random', 'reject', 'rejectattr', 'replace', 'reverse', 'round', 'safe', 'select', 'selectattr', 'slice', 'sort', 'string', 'striptags', 'sum', 'title', 'trim', 'truncate', 'unique', 'upper', 'urlencode', 'urlize', 'wordcount', 'wordwrap', 'xmlattr', 'tojson', 'b64decode', 'b64encode', 'to_uuid', 'to_json', 'to_nice_json', 'from_json', 'to_yaml', 'to_nice_yaml', 'from_yaml', 'from_yaml_all', 'basename', 'dirname', 'expanduser', 'expandvars', 'path_join', 'realpath', 'relpath', 'splitext', 'win_basename', 'win_dirname', 'win_splitdrive', 'commonpath', 'normpath', 'fileglob', 'bool', 'to_datetime', 'strftime', 'quote', 'md5', 'sha1', 'checksum', 'password_hash', 'hash', 'regex_replace', 'regex_escape', 'regex_search', 'regex_findall', 'ternary', 'shuffle', 'mandatory', 'comment', 'type_debug', 'combine', 'extract', 'flatten', 'dict2items', 'items2dict', 'subelements', 'split']
2025-09-24 18:48:22 [WARNING] json_query not found, using fallback.
2025-09-24 18:48:22 [INFO] Loaded data as YAML. from /tmp/tree/localhost
2025-09-24 18:48:24 [DEBUG] Key pressed: key=down ctrl=False alt=False shift=False
2025-09-24 18:48:24 [DEBUG] Node highlighted. Path: ['ansible_facts']
2025-09-24 18:48:24 [DEBUG] Key pressed: key=enter ctrl=False alt=False shift=False
2025-09-24 18:48:25 [DEBUG] Key pressed: key=tab ctrl=False alt=False shift=False
2025-09-24 18:48:26 [DEBUG] Key pressed: key=down ctrl=False alt=False shift=False
2025-09-24 18:48:27 [DEBUG] Key pressed: key=tab ctrl=False alt=False shift=False
2025-09-24 18:48:29 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:29 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:29 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:30 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:30 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:30 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:30 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:31 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:31 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:41 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:42 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:42 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:42 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:42 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:42 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:42 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:43 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:43 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:43 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:44 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:48:44 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:00 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:04 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:07 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:12 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:13 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:14 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:14 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:14 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:14 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:16 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:16 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:16 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:16 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:17 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:23 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:52 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:53 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:54 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:54 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:54 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:54 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
2025-09-24 18:49:54 [DEBUG] Key pressed: key=backspace ctrl=False alt=False shift=False
